tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
172,8,42,127,127,318,313,7,8,28,30614,9187,50,0,300,0,0,0,0,0,0,0,0
173,8,42,127,127,318,313,6,8,29,31032,8849,50,0,300,0,0,0,1,0,0,0,0
174,8,42,127,126,318,315,6,7,29,30211,8373,50,0,300,0,0,0,1,0,1,0,0
175,8,42,126,125,320,317,6,7,29,30326,8365,50,0,300,0,0,0,1,0,1,0,0
176,8,42,123,123,326,321,6,7,29,31760,8361,50,0,300,0,0,0,1,0,1,0,0
177,8,42,123,123,326,321,6,7,29,31216,8761,50,0,300,0,0,0,1,0,1,0,0
178,8,42,123,122,326,323,6,7,29,29107,7959,50,0,300,0,0,0,1,0,1,0,0
179,8,42,123,122,326,323,6,7,30,24278,8874,50,0,300,0,0,0,1,0,1,0,0
180,8,42,121,122,330,323,6,7,30,18821,10245,50,0,300,0,0,0,1,0,1,0,0
181,8,42,120,121,332,325,6,7,30,15980,11837,50,0,300,0,0,0,1,0,1,0,0
182,8,42,119,121,334,325,6,7,30,12916,12915,50,0,300,0,0,0,1,0,1,0,0
183,6,44,119,120,334,327,6,7,28,16455,11707,50,0,300,0,0,0,1,0,1,0,0
184,6,44,119,119,334,329,6,7,28,18656,11664,50,0,300,0,0,0,1,0,1,0,0
185,6,44,116,119,340,329,6,7,28,21710,10701,50,0,300,0,0,0,1,0,1,0,0
186,6,44,115,119,342,329,6,7,28,24531,10378,50,0,300,0,0,0,1,0,1,0,0
187,6,44,115,118,342,327,6,7,28,25208,10008,50,0,300,0,0,0,1,0,2,0,0
188,6,44,115,118,342,327,6,7,28,27354,10019,49,1,300,0,0,0,1,0,2,1,0
189,6,44,113,118,346,327,6,7,28,28789,9619,49,1,0,300,0,147,1,153,2,1,1
190,6,44,112,117,348,329,6,7,28,29019,8953,49,1,0,300,0,293,1,307,2,2,1
191,6,44,112,117,348,329,6,7,29,30332,8667,49,1,0,211,89,403,1,408,2,3,1
192,6,44,112,116,343,322,7,9,29,34343,8245,49,1,0,105,195,454,2,454,3,4,1
193,6,44,109,116,349,322,7,9,30,27797,9337,49,1,0,38,262,472,3,470,3,4,2
194,6,44,109,114,349,326,6,9,30,24350,10925,49,1,0,25,275,481,5,482,3,5,2
195,6,44,107,113,353,328,6,9,30,19813,12606,49,1,0,16,284,486,5,488,4,5,3
196,6,44,105,112,357,321,6,11,30,15956,13749,49,1,0,14,286,490,6,494,4,5,4
197,6,44,105,109,357,327,6,11,30,13764,14961,49,1,0,12,288,486,7,502,4,6,4
198,6,44,103,109,361,327,6,10,30,11985,16518,48,2,0,9,291,490,7,503,6,7,5
199,5,45,103,109,361,327,6,10,29,9848,18198,48,2,0,7,293,495,6,501,7,9,5
200,5,45,102,109,363,327,6,10,29,15773,15959,47,3,0,6,294,498,6,504,7,12,5
201,3,47,101,108,365,329,6,10,27,18454,15454,45,5,0,4,296,499,6,507,6,14,8
202,3,47,96,106,374,329,6,11,27,17836,14804,45,5,0,3,297,496,7,496,9,15,12
203,2,48,96,101,374,339,6,11,26,20838,14031,45,5,0,3,297,497,7,497,8,16,16
204,2,48,96,101,374,339,6,11,26,20790,13421,45,5,0,3,297,498,7,499,8,18,19
205,0,50,96,99,374,343,6,11,24,22362,13099,45,5,0,3,297,499,7,501,8,22,20
206,0,50,96,98,374,345,6,11,24,23645,12562,44,6,0,3,297,501,7,502,8,24,24
207,0,50,96,98,374,336,6,13,25,24634,12110,43,7,0,3,297,494,9,494,10,27,28
208,0,50,96,98,374,336,6,13,25,25960,11741,43,7,0,3,297,494,8,497,10,29,33
209,0,50,96,95,374,342,6,13,25,29094,10785,43,7,0,3,297,495,8,495,11,33,36
210,0,50,94,94,378,344,6,13,25,28206,10068,43,7,0,3,297,497,8,496,11,35,41
211,0,50,93,94,380,343,6,12,26,28486,9935,43,7,0,3,297,499,8,497,12,38,45
212,0,50,92,94,382,343,6,12,26,29622,10177,43,7,0,3,297,488,11,489,14,42,48
213,0,50,90,94,386,343,6,12,27,29797,10630,43,7,0,3,297,490,11,490,14,46,51
214,0,50,89,94,388,343,6,12,27,30709,9925,42,8,0,3,297,493,11,490,14,51,54
215,0,50,89,93,388,345,6,12,28,30570,9571,42,8,0,3,297,493,11,493,14,55,58
216,0,50,89,93,379,341,8,13,28,31933,9291,41,9,0,3,297,495,11,494,14,60,62
217,0,50,86,92,385,343,8,13,29,30827,9324,40,10,0,3,297,491,12,471,20,65,67
218,0,50,85,92,383,343,9,13,29,30728,8812,40,10,0,3,297,492,12,473,20,73,69
219,0,50,83,92,387,343,9,13,30,31497,8966,39,11,0,3,297,495,12,473,19,80,73
220,0,50,83,92,387,343,9,13,30,25833,10151,39,11,0,3,297,496,12,475,19,84,80
221,0,50,82,91,389,345,9,13,30,21607,11445,39,11,0,3,297,497,12,477,19,91,84
222,0,50,81,90,387,346,10,13,30,18530,12445,39,11,0,3,297,488,14,475,20,97,89
223,0,50,80,89,389,348,10,13,30,14477,14090,38,12,0,3,297,490,14,476,20,104,94
224,0,50,80,89,389,348,10,13,30,12155,14745,36,14,0,2,298,487,14,477,20,113,99
225,0,50,77,88,395,350,10,13,30,9729,16220,34,16,0,2,298,489,14,477,20,119,109
226,0,50,77,86,395,350,10,14,30,7611,17685,34,16,0,2,298,490,14,478,19,128,116
227,0,50,77,85,395,352,10,14,28,6381,19181,33,17,0,2,298,487,15,471,21,135,126
